Country,Time,BGN-USD Spot Exchange Rate
BG,1957-01,
BG,1957-02,
BG,1957-03,
BG,1957-04,
BG,1957-05,
BG,1957-06,
BG,1957-07,
BG,1957-08,
BG,1957-09,
BG,1957-10,
BG,1957-11,
BG,1957-12,
BG,1958-01,
BG,1958-02,
BG,1958-03,
BG,1958-04,
BG,1958-05,
BG,1958-06,
BG,1958-07,
BG,1958-08,
BG,1958-09,
BG,1958-10,
BG,1958-11,
BG,1958-12,
BG,1959-01,
BG,1959-02,
BG,1959-03,
BG,1959-04,
BG,1959-05,
BG,1959-06,
BG,1959-07,
BG,1959-08,
BG,1959-09,
BG,1959-10,
BG,1959-11,
BG,1959-12,
BG,1960-01,854.7008554313683
BG,1960-02,854.7008554313683
BG,1960-03,854.7008554313683
BG,1960-04,854.7008554313683
BG,1960-05,854.7008554313683
BG,1960-06,854.7008554313683
BG,1960-07,854.7008554313683
BG,1960-08,854.7008554313683
BG,1960-09,854.7008554313683
BG,1960-10,854.7008554313683
BG,1960-11,854.7008554313683
BG,1960-12,854.7008554313683
BG,1961-01,854.7008554313683
BG,1961-02,854.7008554313683
BG,1961-03,854.7008554313683
BG,1961-04,854.7008554313683
BG,1961-05,854.7008554313683
BG,1961-06,854.7008554313683
BG,1961-07,854.7008554313683
BG,1961-08,854.7008554313683
BG,1961-09,854.7008554313683
BG,1961-10,854.7008554313683
BG,1961-11,854.7008554313683
BG,1961-12,854.7008554313683
BG,1962-01,854.7008554313683
BG,1962-02,854.7008554313683
BG,1962-03,854.7008554313683
BG,1962-04,854.7008554313683
BG,1962-05,854.7008554313683
BG,1962-06,854.7008554313683
BG,1962-07,854.7008554313683
BG,1962-08,854.7008554313683
BG,1962-09,854.7008554313683
BG,1962-10,854.7008554313683
BG,1962-11,854.7008554313683
BG,1962-12,854.7008554313683
BG,1963-01,854.7008554313683
BG,1963-02,854.7008554313683
BG,1963-03,854.7008554313683
BG,1963-04,854.7008554313683
BG,1963-05,854.7008554313683
BG,1963-06,854.7008554313683
BG,1963-07,854.7008554313683
BG,1963-08,854.7008554313683
BG,1963-09,854.7008554313683
BG,1963-10,854.7008554313683
BG,1963-11,854.7008554313683
BG,1963-12,854.7008554313683
BG,1964-01,854.7008554313683
